symbol,name,close,yest_close,b1_p,b1_v,volume
300223,北京君正,122.81,127.5,122.7,1,57887
600295,鄂尔多斯,22.77,23.64,22.76,180,103987
603728,鸣志电器,21.19,22.0,21.19,1347,49294
300638,广和通,52.73,54.75,52.59,10,39610
600731,湖南海利,8.34,8.66,8.34,501,256847
688116,天奈科技,136.55,141.79,136.55,22,25870
300816,艾可蓝,49.72,51.63,49.71,17,6436
002598,山东章鼓,10.41,10.81,10.4,155,75274
301199,迈赫股份,34.08,35.39,34.07,250,37418
300099,精准信息,9.1,9.45,9.09,231,342324
300433,蓝思科技,22.61,23.48,22.6,361,516025
300363,博腾股份,73.78,76.62,73.75,1,109734
688133,泰坦科技,204.89,212.78,204.31,2,6738
605566,福莱蒽特,30.07,31.23,30.06,7,33346
688611,杭州柯林,68.36,71.0,68.36,5,10930
600642,申能股份,6.99,7.26,6.99,244,384132
300662,科锐国际,57.59,59.82,57.59,1,27940
688131,皓元医药,231.05,240.0,231.05,3,4776
000952,广济药业,7.74,8.04,7.73,196,107064
688799,华纳药厂,39.95,41.5,39.89,4,16994
837344,三元基因,25.51,26.5,25.51,27,5861
603186,华正新材,39.93,41.48,39.93,146,36831
002758,浙农股份,12.1,12.57,12.1,189,75757
836826,盖世食品,13.9,14.44,13.9,80,26493
000919,金陵药业,7.71,8.01,7.71,229,183526
600366,宁波韵升,12.58,13.07,12.58,1637,481915
300581,晨曦航空,23.87,24.8,23.86,537,72859
603035,常熟汽饰,16.92,17.58,16.92,427,157244
301042,安联锐视,44.86,46.61,44.86,52,10714
301180,万祥科技,28.18,29.28,28.18,202,27310
300750,宁德时代,547.5,568.88,547.5,11,166579
603050,科林电气,16.89,17.55,16.89,8,92945
300331,苏大维格,32.48,33.75,32.47,6,54075
600879,航天电子,7.92,8.23,7.92,4320,863286
601633,长城汽车,45.98,47.78,45.97,20,295364
300990,同飞股份,116.71,121.28,116.68,1,7236
603779,威龙股份,8.17,8.49,8.16,321,92164
002020,京新药业,9.43,9.8,9.43,220,228582
688798,艾为电子,200.99,208.88,200.97,2,4201
