,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sz300431,8.73,173779.0,0.0,0.0,0.0,0.0
sz002758,7.47,8964.0,0.0,0.0,0.0,0.0
sz300486,0,0,0,0,0,0
sh601668,5.67,1504251.0,0.0,0.0,0.0,0.0
sz002681,4.5,4942976.0,0.0,0.0,0.0,0.0
sh603666,44.89,116714.0,0.0,0.0,0.0,0.0
sh601101,6.2,47740.0,0.0,0.0,0.0,0.0
sz002325,3.13,11894.0,0.0,0.0,0.0,0.0
sz300127,0,0,0,0,0,0
sz000948,10.01,5005.0,0.0,0.0,0.0,0.0
sz002762,5.48,1096.0,0.0,0.0,0.0,0.0
sz002409,0,0,0,0,0,0
sz300087,9.47,208340.0,0.0,0.0,0.0,0.0
sz002027,5.37,2784882.0,0.0,0.0,0.0,0.0
sz002410,22.64,36224.0,0.0,0.0,0.0,0.0
sh603113,11.21,922583.0,0.0,0.0,0.0,0.0
sz000798,0,0,0,0,0,0
sh600408,2.68,314364.0,0.0,0.0,0.0,0.0
sz002362,14.45,30345.0,0.0,0.0,0.0,0.0
sh600458,7.32,9531.0,0.0,0.0,0.0,0.0
sz000423,39.47,98675.0,0.0,0.0,0.0,0.0
sz001965,8.11,13787.0,0.0,0.0,0.0,0.0
sz300019,0,0,0,0,0,0
sz002651,4.74,133668.0,0.0,0.0,0.0,0.0
sz000413,4.9,638470.0,0.0,0.0,0.0,0.0
sz300260,9.19,919.0,0.0,0.0,0.0,0.0
sh603660,0,0,0,0,0,0
sz300111,2.39,6529241.0,0.0,0.0,0.0,0.0
sz002623,15.37,46110.0,0.0,0.0,0.0,0.0
sh601838,7.95,104145.0,0.0,0.0,0.0,0.0
sz300733,14.38,657166.0,0.0,0.0,0.0,0.0
sh603042,15.15,192405.0,0.0,0.0,0.0,0.0
