,kaipan_price,kaipan_money,sell_amount
sz000798,6.85,10275,0.00152334
sh600408,3.42,1765404,0.008715569999999999
sz002362,17.79,727611,0.00257748
sh600458,9.35,2853620,0.23662776
sz000423,47.9,5695310,0.06914708
sz001965,9.07,446244,0.015290399999999999
sz300019,7.7,1752674,0.005418350000000001
sz002651,5.52,77832,0.04124925
sz000413,6.08,4052594,0.03168858
sz300260,13.05,2423385,0.0008208
sh603660,24.86,1787434,0.00033371000000000003
sz300111,2.83,205741,0.015863020000000002
sz002623,18.23,1274277,0.0014936
sh601838,8.97,2926014,0.09918272
sz300733,14.93,101524,0.00036960000000000004
sh603042,14.89,866598,0.0005058899999999999
sh600293,5.06,612766,0.04802709
sz002911,17.63,82861,0.00255458
sz002702,5.05,545248,0.0016348500000000002
sz000965,4.79,814875,0.03224888
sz002125,10.2,817020,0.0066875
sz300557,29.5,41300,0.011004799999999999
sh600610,4.35,364965,0.03318615
sz300363,11.3,138990,0.00026864
sz000014,12.33,2721231,0.0048338999999999995
sh600653,2.55,377655,0.0018506400000000002
sz002603,13.39,2273622,0.00515061
sh603268,19.1,729620,0.00068075
sh601008,5.6,15927005,0.058775419999999995
sz002363,6.89,700024,0.00700024
sz300214,6.34,79250,0.0030875
sz002107,8.93,129485,0.00089628
sz002256,3.63,195294,0.01669131
sz002515,6.25,708125,0.00260652
sz300746,21.5,236500,0.0029681
sh600837,14.28,61362588,0.0313845
sz002386,6.95,1298816,0.00935655
sh600781,14.71,283903,0.006773769999999999
sz300216,4.26,1162128,0.01594107
sz300482,34.8,247080,0.01424442
sh600480,12.63,1967754,0.0025506
sh600648,19.59,18216232,0.5904817800000001
sz300083,3.67,640782,0.01497444
sz002236,16.52,5035412,0.08464890000000001
sh603355,26.48,82088,0.00016481999999999998
sh603098,13.68,430920,0.006941439999999999
sh600475,10.42,31260,0.002795
sz002906,11.6,407160,0.00112236
sz300511,8.37,48546,0.004308599999999999
sh603165,19.56,170172,0.0009849000000000001
sh603008,10.9,300840,0.0075128999999999994
sz002187,9.31,171304,0.00130424
sz002856,24.04,574556,0.00209412
sh600460,16.3,30754840,0.013906080000000001
sz002888,24.81,3488286,0.40486239
sz002862,27.67,1422238,0.0012358199999999999
sz002111,13.37,120330,0.0416594
sh600012,6.9,282900,0.02351268
sz002248,10.37,314211,0.010979039999999999
sz002567,13.27,8388352,2.54275522
sh600171,15.09,6342327,0.00677952
sh600679,14.55,963210,0.0020274200000000003
sz002149,9.06,1257637,0.01033802
sh603721,26.82,600768,0.002646
sh600259,34.2,7028100,0.0024426599999999997
sz002507,30.95,2670985,0.02680074
sz300487,35.3,1055470,0.0064614
